RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
936,4058072,3936708,"MORGAN STANLEY PRIVATE EQUITY MANAGEMENT KOREA, LTD.",International Nonbank Sub of Domestic Entities,SEOUL,"KOREA, SOUTH                            "
937,4049708,3936708,MORGAN STANLEY INTERNATIONAL INSURANCE LTD.,International Nonbank Sub of Domestic Entities,HAMILTON,BERMUDA                                 
938,4048381,4049708,PECONIC INDEMNITY COMPANY,Domestic Entity Other,PHOENIX,AZ
939,3959613,3936708,MORGAN STANLEY PARTICIPACOES LTDA.,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
940,3959622,3936708,MORGAN STANLEY CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
941,4041588,3936708,MORGAN STANLEY PACIFIC LIMITED,International Nonbank Sub of Domestic Entities,KOWLOON,HONG KONG                               
942,4057271,4041588,MORGAN STANLEY INVESTMENT CONSULTANCY (BEIJING) COMPANY LIMITED,International Nonbank Sub of Domestic Entities,BEIJING,"CHINA, PEOPLES REPUBLIC OF              "
943,5284887,4041588,MORGAN STANLEY OVERSEAS INVESTMENT FUND MANAGEMENT (SHANGHAI) LIMITED,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
944,4367073,4041588,"MORGAN STANLEY (CHINA) PRIVATE EQUITY INVESTMENT MANAGEMENT CO., LTD.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
945,4483900,4367073,HANGZHOU HAERGAI INVESTMENT CONSULTANCY PARTNERSHIP ENTITY (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
946,4458971,4483900,"HANGZHOU MORGAN STANLEY INVESTMENT CONSULTING PARTNERSHIP ENTERPRISE, L.P.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
