RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
756,5042591,480228,"UHC 00558 OXNARD, L.P.",Domestic Entity Other,SANTA ANA,CA
757,3604856,480228,"MS GUARANTEED TAX CREDIT FUND XXIII, LLC",Domestic Entity Other,NEW YORK,NY
758,4330684,3604856,COUNTRYSIDE CORP TAX CREDIT XVI-2 LP,Domestic Entity Other,BOSTON,MA
759,4821427,4330684,BIANCHI-HEBERT LIMITED PARTNERSHIP,Domestic Entity Other,BARRE,VT
760,4821708,4330684,"ATCHISON SENIOR RESIDENCES, L.P.",Domestic Entity Other,HOLTON,KS
761,4836832,4330684,"MALLARD COVE ESTATES, L.P.",Domestic Entity Other,RIDGELAND,MS
762,4836766,4330684,"QUAIL RUN ESTATES, L.P.",Domestic Entity Other,RIDGELAND,MS
763,4839066,4330684,SLI DOUGLAS HOUSE LIMITED PARTNERSHIP,Domestic Entity Other,WOBURN,MA
764,4050012,3604856,COUNTRYSIDE CORPORATE TAX CREDITS XVI LIMITED PARTNERSHIP,Domestic Entity Other,NEW YORK,NY
765,4838612,4050012,"SUSANVILLE CITRUS MANOR, LP",Domestic Entity Other,SUSANVILLE,CA
766,4838377,4050012,"THORNBURY RRH, LTD",Domestic Entity Other,CLEARWATER,FL
767,4836131,4050012,"PARKWAY HORN LAKE, L.P.",Domestic Entity Other,JACKSON,MS
768,4819358,4050012,"418 ORMSBY PARTNERS, LTD.",Domestic Entity Other,LOUISVILLE,KY
769,4821100,4050012,"CSA RRH, LTD.",Domestic Entity Other,CLEARWATER,FL
770,4820635,4050012,"H.O.P.E. PROPERTIES III, LLC",Domestic Entity Other,WICHITA,KS
771,4839093,4050012,SODO LOFTS LIMITED PARTNERSHIP,Domestic Entity Other,SALT LAKE CITY,UT
772,4837053,4050012,"PENSACOLA RRH, LTD",Domestic Entity Other,CLEARWATER,FL
773,4820372,4050012,"HVM ZAPATA II, LTD.",Domestic Entity Other,BURNET,TX
774,4820260,4050012,"JESSICA ESTATES III, L.P.",Domestic Entity Other,PRAIRIE VILLAGE,KS
775,5515657,480228,"SENIOR RESIDENCES AT NORTH HILL, THE LLC",Domestic Entity Other,CHRISTIANSBURG,VA
776,4856223,480228,"SHELLYS WORLD, LLC",Domestic Entity Other,WINSTON-SALEM,NC
777,5515666,480228,"RESIDENCES AT NORTH HILL BOND 94, THE LLC",Domestic Entity Other,CHRISTIANSBURG,VA
778,5857674,480228,ESTELLA HOUSING LLC,Domestic Entity Other,MEDFORD,NY
779,5400977,480228,TANNERY LIMITED PARTNERSHIP,Domestic Entity Other,BOSTON,MA
