Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Acquisition,6/14/1997,BOATMEN'S BANK OF SOUTHWEST MISSOURI,943750,"BOATMEN'S BANK OF SOUTHWEST MISSOURI transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/12/1997,BOATMEN'S BANK OF VANDALIA,306551,"BOATMEN'S BANK OF VANDALIA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,6/2/1997,"NATIONSBANK, NATIONAL ASSOCIATION (SOUTH)",372930,"NATIONSBANK, NATIONAL ASSOCIATION (SOUTH) transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,4/16/1996,"NATIONSBANK TRUST COMPANY, N.A.",1356674,"NATIONSBANK TRUST COMPANY, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,9/30/1995,"NATIONSBANK, N.A.",767723,"NATIONSBANK, N.A. transferred its assets to one or more institutions including NATIONSBANK, NATIONAL ASSOCIATION (CAROLINAS). "
Name Changed,9/30/1995,,,"NATIONSBANK, NATIONAL ASSOCIATION (CAROLINAS) changed to the new name NATIONSBANK, N.A.."
Acquisition,1/3/1995,"NATIONSBANK OF SOUTH CAROLINA, N.A.",810124,"NATIONSBANK OF SOUTH CAROLINA, N.A. transferred its assets to one or more institutions including NATIONSBANK OF NORTH CAROLINA, NATIONAL ASSOCIATION. "
Name Changed,1/3/1995,,,"NATIONSBANK OF NORTH CAROLINA, NATIONAL ASSOCIATION changed to the new name NATIONSBANK, NATIONAL ASSOCIATION (CAROLINAS)."
Acquisition,10/9/1993,FIRST AMERICAN FEDERAL SAVINGS BANK,394174,FIRST AMERICAN FEDERAL SAVINGS BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.
Name Changed,1/1/1992,,,"NCNB NATIONAL BANK OF NORTH CAROLINA changed to the new name NATIONSBANK OF NORTH CAROLINA, NATIONAL ASSOCIATION."
Acquisition,5/18/1990,CAROLINA MOUNTAIN BANK,603728,CAROLINA MOUNTAIN BANK transferred its assets to one or more institutions including NCNB NATIONAL BANK OF NORTH CAROLINA. 
Acquisition,9/16/1989,"GREAT ATLANTIC SAVINGS BANK, FEDERAL SAVINGS BANK",280576,"GREAT ATLANTIC SAVINGS BANK, FEDERAL SAVINGS BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities."
Name Changed,1/4/1983,,,NORTH CAROLINA NATIONAL BANK changed to the new name NCNB NATIONAL BANK OF NORTH CAROLINA.
Address Changed,1/4/1983,,,The address of NCNB NATIONAL BANK OF NORTH CAROLINA changed from No Address to ONE NCNB PLAZA .
Acquisition,12/23/1982,"BANK OF NORTH CAROLINA, NATIONAL ASSOCIATION",544120,"BANK OF NORTH CAROLINA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
Acquisition,12/31/1981,CAROLINA FIRST NATIONAL BANK,618629,CAROLINA FIRST NATIONAL BANK transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,12/3/1979,BANK OF ASHEVILLE,409724,BANK OF ASHEVILLE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,5/18/1974,"FIRST NATIONAL BANK OF MOUNT AIRY, THE",899222,"FIRST NATIONAL BANK OF MOUNT AIRY, THE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
Acquisition,3/10/1973,CITIZENS BANK AND TRUST COMPANY,322029,CITIZENS BANK AND TRUST COMPANY transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,12/16/1972,BANK OF NEW BERN,748629,BANK OF NEW BERN transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,7/29/1972,FARMERS BANK,208422,FARMERS BANK transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
