RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1265,3934517,3936351,MORGAN STANLEY CEDAR 1 S.A R.L.,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1266,3934106,3934517,ALPINO INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1267,3934003,3934517,MORGAN STANLEY CEDAR 2 S.A R.L.,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1268,3934768,3934003,MORGAN STANLEY CEDAR 4 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1269,3934834,3934003,MORGAN STANLEY CEDAR 3 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1270,3934106,3934003,ALPINO INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1271,3936360,3936708,MORGAN STANLEY SPANISH HOLDINGS S.L.U.,International Nonbank Sub of Domestic Entities,MADRID,SPAIN                                   
1272,3936146,3936708,MORGAN STANLEY CAPITAL (LUXEMBOURG) S.A.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
1273,3936212,3936708,MORGAN STANLEY HEDGING CO. LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
1274,4329277,3936708,MORGAN STANLEY MANAGEMENT SERVICE (SHANGHAI) LIMITED,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
1275,4329268,3936708,MORGAN STANLEY INVESTMENT MANAGEMENT CONSULTANCY (SHANGHAI) LIMITED,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
1276,4329286,3936708,MORGAN STANLEY INVESTMENT CONSULTANCY (SHANGHAI) LIMITED,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
1277,4058876,3936708,MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED,International Nonbank Sub of Domestic Entities,MELBOURNE,AUSTRALIA                               
1278,3960338,3936708,MORGAN STANLEY (AUSTRALIA) SECURITIES HOLDINGS PTY LIMITED,International Nonbank Sub of Domestic Entities,SYDNEY,AUSTRALIA                               
1279,4033976,3960338,MORGAN STANLEY AUSTRALIA SECURITIES LIMITED,International Nonbank Sub of Domestic Entities,SYDNEY,AUSTRALIA                               
1280,4052744,4033976,MORGAN STANLEY AUSTRALIA SECURITIES (NOMINEE) PTY LIMITED,International Nonbank Sub of Domestic Entities,SYDNEY,AUSTRALIA                               
1281,4058652,3936708,MORGAN STANLEY ADVANTAGE SERVICES PRIVATE LIMITED,Data Processing Servicer,MUMBAI,INDIA (OTHER)                           
